date, pm25, pm10, o3, no2, so2, co
2023-01-14,37,14,21,15,3,4
2023-01-15,41,24,21,16,3,4
2023-01-16,58,34,16,36,4,6
2023-01-17,71,54,22,31,4,7
2023-01-18,89,61,24,39,4,8
2023-01-19,93,54,24,13,3,4
2023-01-20,62,25,18,22,3,5
2023-01-21,49,28,17,26,3,5
2023-01-22,59,52,27,27,3,7
2023-01-23,103,31,27,7,3,4
2023-01-24,45,23,21,25,3,4
2023-01-25,38,28,8,35,3,5
2023-01-26,65,42,21,17,4,5
2023-01-27,60,38,24,21,4,4
2023-01-28,51,39,28,26,4,6
2023-01-29,63,41,24,26,3,6
2023-01-30,66,40,23,36,4,6
2023-01-31,70,60,25,19,3,6
2023-02-01,113,47,18,20,3,5
2023-02-02,68,43,19,26,4,5
2023-02-03,75,42,22,33,4,6
2023-02-04,93,61,30,44,4,9
2023-02-05,150,68,25,53,4,10
2023-02-06,158,70,16,53,4,9
2023-02-07,160,63,26,34,4,8
2023-02-08,132,38,25,32,4,5
2023-02-09,81,24,27,22,3,4
2023-02-10,71,46,12,44,3,8
2023-02-11,115,63,21,38,3,10
2023-02-12,156,34,22,29,3,6
2023-02-13,81,37,21,22,4,5
2023-02-14,77,22,22,23,4,4
2023-02-15,44,28,25,26,3,5
2023-02-16,69,42,17,42,4,6
2023-02-17,103,64,6,50,5,9
2023-02-18,156,45,31,20,3,5
2023-02-19,101,42,31,16,3,4
2023-02-20,41,31,25,19,5,4
2023-02-21,59,44,22,44,7,8
2023-02-22,90,43,26,31,4,5
2023-02-23,91,51,27,26,4,4
2023-02-24,101,40,31,19,4,4
2023-02-25,74,40,32,23,6,5
2023-02-26,81,50,23,51,5,8
2023-02-27,111,42,31,45,5,8
2023-02-28,96,39,36,21,3,4
2023-03-01,77,53,30,16,3,3
2023-03-02,53,43,30,32,3,5
2023-03-03,68,64,33,34,3,7
2023-03-04,130,68,48,36,3,8
2023-03-05,140,58,44,46,5,7
2023-03-06,103,59,37,43,4,6
2023-03-07,109,62,43,35,4,6
2023-03-08,108,60,31,35,3,6
2023-03-09,128,78,38,44,4,8
2023-03-10,154,83,58,38,4,9
2023-03-11,145,53,57,11,3,5
2023-03-12,87,38,29,14,3,3
2023-03-13,37,45,38,21,3,4
2023-03-14,47,44,32,25,4,5
2023-03-15,55,62,32,15,3,4
2023-03-16,51,45,24,24,4,4
2023-03-17,66,59,40,21,4,5
2023-03-18,103,79,54,27,4,7
2023-03-19,161,79,35,46,4,10
2023-03-20,155,63,43,50,4,8
2023-03-21,128,68,48,51,4,9
2023-03-22,130,82,41,20,4,6
2023-03-23,105,105,22,23,4,5
2023-03-24,95,82,40,20,4,5
2023-03-25,101,58,41,10,3,4
2023-03-26,62,50,45,20,4,4
2023-03-27,78,63,45,32,4,6
2023-03-28,102,73,45,39,4,6
2023-03-29,128,71,64,41,5,7
2023-03-30,125,81,65,39,5,8
2023-03-31,150,79,78,42,5,8
2022-10-01,101,35,35,20,3,4
2022-10-02,74,16,25,14,4,4
2022-10-03,40,16,23,9,3,3
2022-10-04,23,17,22,15,3,3
2022-10-05,29,8,18,14,3,2
2022-10-06,12,11,21,12,3,3
2022-10-07,19,10,29,15,3,3
2022-10-08,19,9,26,13,3,3
2022-10-09,16,9,26,8,3,3
2022-10-10,12,18,25,12,3,3
2022-10-11,36,24,23,29,3,5
2022-10-12,52,24,24,33,3,5
2022-10-13,45,32,24,33,3,5
2022-10-14,64,34,36,29,3,5
2022-10-15,77,37,18,27,3,6
2022-10-16,84,31,22,10,8,3
2022-10-17,39,25,22,14,4,3
2022-10-18,37,29,24,26,3,4
2022-10-19,43,40,31,36,4,5
2022-10-20,69,57,37,44,5,7
2022-10-21,115,50,34,33,4,6
2022-10-22,109,42,37,11,3,3
2022-10-23,74,30,27,14,3,3
2022-10-24,46,19,27,23,3,3
2022-10-25,28,19,17,30,3,3
2022-10-26,32,36,30,33,3,5
2022-10-27,72,47,26,35,3,6
2022-10-28,87,28,28,29,3,5
2022-10-29,64,29,31,25,3,5
2022-10-30,66,31,27,28,2,4
2022-10-31,61,53,34,26,2,6
2022-11-01,109,36,21,31,3,4
2022-11-02,57,37,23,31,5,5
2022-11-03,62,29,22,12,4,3
2022-11-04,35,33,22,30,4,5
2022-11-05,56,26,25,33,4,6
2022-11-06,53,32,24,36,4,6
2022-11-07,60,51,31,35,4,6
2022-11-08,108,66,27,45,4,9
2022-11-09,144,77,32,45,4,9
2022-11-10,160,60,29,47,5,9
2022-11-11,122,52,21,40,4,8
2022-11-12,113,21,18,13,3,5
2022-11-13,52,26,28,23,4,6
2022-11-14,63,34,18,30,4,6
